timestamp: 3134 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,558204
timestamp: 3153 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,43419
timestamp: 3171 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,480591
timestamp: 3188 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,366132
timestamp: 3207 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,168968
timestamp: 3224 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,999346
timestamp: 3243 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,918055
timestamp: 3262 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,701151
timestamp: 3278 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,475219
timestamp: 3297 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,41697
timestamp: 3315 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,414633
timestamp: 3336 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,512445
timestamp: 3353 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,539348
timestamp: 3369 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,677229
timestamp: 3387 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,806676
timestamp: 3405 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,794906
timestamp: 3424 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,815847
timestamp: 3442 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,922065
timestamp: 3460 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,042957
timestamp: 3477 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,191872
timestamp: 3495 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,369506
timestamp: 3513 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,578193
timestamp: 3532 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,787353
timestamp: 3560 | hand: Left | pinchStrength: 0,7528898 | finger: pinky | distance: 26,70431
timestamp: 3588 | hand: Left | pinchStrength: 0,5104448 | finger: index | distance: 36,48379
timestamp: 3607 | hand: Left | pinchStrength: 0,3079143 | finger: index | distance: 42,8338
timestamp: 3625 | hand: Left | pinchStrength: 0,5088795 | finger: index | distance: 34,97752
timestamp: 3643 | hand: Left | pinchStrength: 0,4586632 | finger: index | distance: 35,10586
timestamp: 3659 | hand: Left | pinchStrength: 0,4858061 | finger: index | distance: 34,48212
timestamp: 3677 | hand: Left | pinchStrength: 0,5551608 | finger: index | distance: 31,50621
timestamp: 3696 | hand: Left | pinchStrength: 0,6038759 | finger: index | distance: 29,50777
timestamp: 3713 | hand: Left | pinchStrength: 0,6160526 | finger: index | distance: 29,2373
timestamp: 3731 | hand: Left | pinchStrength: 0,7487645 | finger: index | distance: 24,47376
timestamp: 3749 | hand: Left | pinchStrength: 0,7258358 | finger: index | distance: 26,25106
timestamp: 3768 | hand: Left | pinchStrength: 0,8158726 | finger: index | distance: 22,82441
timestamp: 3787 | hand: Left | pinchStrength: 0,8314974 | finger: index | distance: 22,45943
timestamp: 3805 | hand: Left | pinchStrength: 0,9668759 | finger: index | distance: 17,8108
timestamp: 3823 | hand: Left | pinchStrength: 1 | finger: index | distance: 16,59984
timestamp: 3839 | hand: Left | pinchStrength: 1 | finger: index | distance: 16,27231
timestamp: 3858 | hand: Left | pinchStrength: 1 | finger: index | distance: 18,61261
timestamp: 3875 | hand: Left | pinchStrength: 0,9672414 | finger: index | distance: 21,95338
timestamp: 3894 | hand: Left | pinchStrength: 1 | finger: index | distance: 16,10097
timestamp: 3912 | hand: Left | pinchStrength: 1 | finger: index | distance: 19,63424
timestamp: 3932 | hand: Left | pinchStrength: 0,9399912 | finger: index | distance: 23,1169
timestamp: 3952 | hand: Left | pinchStrength: 0,8770835 | finger: index | distance: 24,44879
timestamp: 3967 | hand: Left | pinchStrength: 0,8530197 | finger: index | distance: 24,05329
timestamp: 3984 | hand: Left | pinchStrength: 0,8182085 | finger: index | distance: 24,43176
timestamp: 4002 | hand: Left | pinchStrength: 0,806899 | finger: index | distance: 24,25856
timestamp: 4019 | hand: Left | pinchStrength: 0,808915 | finger: index | distance: 23,80817
timestamp: 4038 | hand: Left | pinchStrength: 0,8220934 | finger: index | distance: 23,05658
timestamp: 4058 | hand: Left | pinchStrength: 0,8439943 | finger: index | distance: 22,03338
timestamp: 4074 | hand: Left | pinchStrength: 0,8691424 | finger: index | distance: 20,92552
timestamp: 4094 | hand: Left | pinchStrength: 0,9017856 | finger: index | distance: 19,54886
timestamp: 4111 | hand: Left | pinchStrength: 0,9400222 | finger: index | distance: 18,07583
timestamp: 4130 | hand: Left | pinchStrength: 0,9552245 | finger: index | distance: 17,5411
timestamp: 4148 | hand: Left | pinchStrength: 0,9405329 | finger: index | distance: 18,36474
timestamp: 4165 | hand: Left | pinchStrength: 0,9136845 | finger: index | distance: 19,39194
timestamp: 4184 | hand: Left | pinchStrength: 0,8950946 | finger: index | distance: 20,15148
timestamp: 4202 | hand: Left | pinchStrength: 0,8783464 | finger: index | distance: 20,82725
timestamp: 4221 | hand: Left | pinchStrength: 0,8611875 | finger: index | distance: 21,79575
timestamp: 4239 | hand: Left | pinchStrength: 0,8096598 | finger: index | distance: 23,9718
timestamp: 4256 | hand: Left | pinchStrength: 0 | finger: index | distance: 97,16154
timestamp: 4273 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,83492
timestamp: 4291 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,48429
timestamp: 4309 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,37281
timestamp: 4327 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,27399
timestamp: 4345 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,02941
timestamp: 4363 | hand: Left | pinchStrength: 0 | finger: index | distance: 95,80103
timestamp: 4381 | hand: Left | pinchStrength: 0 | finger: index | distance: 95,33718
timestamp: 4399 | hand: Left | pinchStrength: 0 | finger: index | distance: 94,51957
timestamp: 4417 | hand: Left | pinchStrength: 0 | finger: index | distance: 93,0455
timestamp: 4436 | hand: Left | pinchStrength: 0 | finger: index | distance: 90,88626
timestamp: 4453 | hand: Left | pinchStrength: 0 | finger: index | distance: 87,84299
