timestamp,hand,pinchStrength,finger
14737,Left,0,6053892,pinky
14756,Left,0,7959285,pinky
14771,Left,0,9647685,pinky
14788,Left,1,pinky
14806,Left,1,pinky
14824,Left,1,pinky
14842,Left,1,pinky
14859,Left,1,pinky
14878,Left,1,pinky
14896,Left,1,pinky
14913,Left,1,pinky
14932,Left,1,pinky
14950,Left,1,pinky
14969,Left,1,pinky
14986,Left,1,pinky
15004,Left,1,pinky
15022,Left,1,pinky
15043,Left,1,pinky
15062,Left,1,pinky
15079,Left,1,pinky
15095,Left,1,pinky
15113,Left,1,pinky
15131,Left,1,pinky
15150,Left,1,pinky
15168,Left,1,pinky
15187,Left,1,pinky
15204,Left,1,pinky
15222,Left,1,pinky
15242,Left,1,pinky
15259,Left,1,pinky
15277,Left,1,pinky
15294,Left,1,pinky
15312,Left,1,pinky
15330,Left,1,pinky
15348,Left,1,pinky
15366,Left,1,pinky
15385,Left,1,pinky
15404,Left,1,pinky
15421,Left,1,pinky
15438,Left,1,pinky
15457,Left,1,pinky
15475,Left,1,pinky
15493,Left,1,pinky
15511,Left,1,pinky
15529,Left,1,pinky
15547,Left,0,995118,pinky
15565,Left,0,9271404,pinky
15584,Left,0,850116,pinky
15601,Left,0,7295901,pinky
15619,Left,0,5721908,pinky
15637,Left,0,4053403,pinky
15655,Left,0,2191452,pinky
15673,Left,0,02457693,pinky
15692,Left,0,pinky
15710,Left,0,pinky
15728,Left,0,pinky
15746,Left,0,pinky
15765,Left,0,ring
15783,Left,0,ring
15800,Left,0,ring
15819,Left,0,index
15836,Left,0,index
15857,Left,0,index
15875,Left,0,index
15895,Left,0,index
15910,Left,0,index
15927,Left,0,index
15945,Left,0,index
15963,Left,0,index
15980,Left,0,index
15999,Left,0,index
16017,Left,0,index
16035,Left,0,index
16052,Left,0,index
16071,Left,0,index
16088,Left,0,index
16109,Left,0,index
16129,Left,0,index
16144,Left,0,index
16161,Left,0,index
16180,Left,0,index
16198,Left,0,index
16216,Left,0,index
16234,Left,0,index
16252,Left,0,index
16269,Left,0,index
16288,Left,0,index
16306,Left,0,index
16325,Left,0,index
16342,Left,0,index
16361,Left,0,index
16378,Left,0,index
16397,Left,0,index
16414,Left,0,index
16433,Left,0,index
16451,Left,0,index
16469,Left,0,index
16486,Left,0,index
16504,Left,0,index
16523,Left,0,index
16541,Left,0,index
16560,Left,0,index
16577,Left,0,index
16598,Left,0,index
16617,Left,0,index
16635,Left,0,index
16650,Left,0,index
